screen_name,url,country_code
c_o3731,http://pbs.twimg.com/media/EmZQIMyVkAoyJCy.jpg,JP
c_o3731,http://pbs.twimg.com/media/EgkhgL_VgAEmQwC.jpg,JP
c_o3731,http://pbs.twimg.com/media/EkWf3xpU4AIL_DT.jpg,JP
c_o3731,http://pbs.twimg.com/media/Ehu-C_lVgAAR6mu.jpg,JP
c_o3731,http://pbs.twimg.com/media/EmL6AsZU8AAh-T2.jpg,JP
c_o3731,http://pbs.twimg.com/media/EhfYJSOVoAA1V9O.jpg,JP
c_o3731,http://pbs.twimg.com/media/Ef-MgOsUwAADfh0.jpg,JP
c_o3731,http://pbs.twimg.com/media/Ej8NGjjVoAY4Cw1.jpg,JP
C_Tomlinson,http://pbs.twimg.com/media/El__VHcWoAE_hGS.jpg,GB
C_Tomlinson,http://pbs.twimg.com/media/El5i11VWMAE3Lp8.jpg,GB
C_Tomlinson,http://pbs.twimg.com/media/El9-6orXUAEllcY.jpg,GB
C_Tomlinson,http://pbs.twimg.com/tweet_video_thumb/EmP6JcSWEAAjE1Z.jpg,GB
C_Tomlinson,http://pbs.twimg.com/media/ElvrncpW0AA6PKx.jpg,GB
C_Tomlinson,http://pbs.twimg.com/media/ElGjWN9W0AUeLOV.jpg,GB
C_Tomlinson,http://pbs.twimg.com/tweet_video_thumb/ElB-Cp8WkAA9r5u.jpg,GB
C_Tomlinson,http://pbs.twimg.com/tweet_video_thumb/Elc0QJNXEAYrsPQ.jpg,GB
C_Tomlinson,http://pbs.twimg.com/media/ElqJD0pW0A0frgQ.jpg,GB
C_Tomlinson,http://pbs.twimg.com/media/EmPJJ4YUYAEaqeg.jpg,GB
cabe_bedlam,http://pbs.twimg.com/media/EmKJMJoXEAEbjRt.png,GB
cabe_bedlam,http://pbs.twimg.com/tweet_video_thumb/EmLkWx-XcAAbKPD.jpg,GB
cabe_bedlam,http://pbs.twimg.com/tweet_video_thumb/EmKzGBZXEAA_j-B.jpg,GB
cabe_bedlam,http://pbs.twimg.com/tweet_video_thumb/EmNygESXYAUwA3z.jpg,GB
cabe_bedlam,http://pbs.twimg.com/media/EmTnp10W8AApGRR.png,GB
cabe_bedlam,http://pbs.twimg.com/media/EmL0os_XYAEp9TW.jpg,GB
cabe_bedlam,http://pbs.twimg.com/tweet_video_thumb/EmKNCVkWoAEhoS9.jpg,GB
cabe_bedlam,http://pbs.twimg.com/media/EmU4citXUAALdMg.png,GB
